Time(s),Pin0_Value
0.000,59
0.051,65
0.102,61
0.152,68
0.203,63
0.254,63
0.304,58
0.355,69
0.406,60
0.456,67
0.507,66
0.558,54
0.608,65
0.659,65
0.710,67
0.760,63
0.811,62
0.862,62
0.913,64
0.963,60
1.014,73
1.065,58
1.115,68
1.166,62
1.217,60
1.267,72
1.318,57
1.369,64
1.419,55
1.470,77
1.521,57
1.571,67
1.622,63
1.673,66
1.723,63
1.774,70
1.825,69
1.876,62
1.926,65
1.977,63
2.028,68
2.078,63
2.129,68
2.180,57
2.230,73
2.281,62
2.332,66
2.382,58
2.433,65
2.484,61
2.534,71
2.585,62
2.636,63
2.686,65
2.737,70
2.788,78
2.838,67
2.889,66
2.940,66
2.990,67
3.041,64
3.092,63
3.142,57
3.193,67
3.244,72
3.294,65
3.345,63
3.396,66
3.447,73
3.497,70
3.548,69
3.599,63
3.649,69
3.700,57
3.751,75
3.801,64
3.852,68
3.903,61
3.953,66
4.004,59
4.055,67
4.105,63
4.156,66
4.207,65
4.257,63
4.308,65
4.359,62
4.409,63
4.460,57
4.511,66
4.561,61
4.612,64
4.663,63
4.713,61
4.764,58
4.815,62
4.865,56
4.916,59
4.967,53
5.017,71
5.068,65
5.119,69
5.169,70
5.220,63
5.271,71
5.321,60
5.372,63
5.423,58
5.473,67
5.524,57
5.575,58
5.625,63
5.676,66
5.727,62
5.777,58
5.828,65
5.879,62
5.929,65
5.980,60
6.031,63
6.081,62
6.132,67
6.183,56
6.234,62
6.284,61
6.335,61
6.386,61
6.437,65
6.487,59
6.538,60
6.589,62
6.640,59
6.690,64
6.741,56
6.792,60
6.842,59
6.893,60
6.944,57
6.994,66
7.045,58
7.096,60
7.146,63
7.197,65
7.248,60
7.299,62
7.349,61
7.400,56
7.451,64
7.501,56
7.552,68
7.603,61
7.653,72
7.704,58
7.755,58
7.805,59
7.856,60
7.907,62
7.957,57
8.008,64
8.059,64
8.110,64
8.160,59
8.211,58
8.262,51
8.312,59
8.363,60
8.414,60
8.464,63
8.515,65
8.566,60
8.617,63
8.667,66
8.718,66
8.769,65
8.819,59
8.870,64
8.921,56
8.971,61
9.022,62
9.073,60
9.124,64
9.174,61
9.225,63
9.276,61
9.326,65
9.377,62
9.428,63
9.478,50
9.529,64
9.580,62
9.631,67
9.681,58
9.732,67
9.783,57
9.833,64
9.884,56
9.935,68
9.985,64
